OTU ID,kingdom,phylum,class,order,family,genus,species
OTU507,Bacteria,p__Sumerlaeota,c__Sumerlaeia,o__Sumerlaeales,f__Sumerlaeaceae,g__Sumerlaea,s__unclassified_g__Sumerlaea
OTU5072,Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Singulisphaera,s__uncultured_bacterium_g__Singulisphaera
OTU5107,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__uncultured_bacterium_g__norank_f__norank_o__Vicinamibacterales
OTU5117,Bacteria,p__Actinobacteriota,c__unclassified_p__Actinobacteriota,o__unclassified_p__Actinobacteriota,f__unclassified_p__Actinobacteriota,g__unclassified_p__Actinobacteriota,s__unclassified_p__Actinobacteriota
OTU5120,Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Pseudonocardia,s__Pseudonocardia_alaniniphila
OTU5148,Bacteria,p__Actinobacteriota,c__Actinobacteria,o__0319-7L14,f__norank_o__0319-7L14,g__norank_f__norank_o__0319-7L14,s__uncultured_actinobacterium_g__norank_f__norank_o__0319-7L14
OTU5155,Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Kribbella,s__Kribbella_sp.
OTU5161,Bacteria,p__Entotheonellaeota,c__Entotheonellia,o__Entotheonellales,f__Entotheonellaceae,g__norank_f__Entotheonellaceae,s__uncultured_bacterium_g__norank_f__Entotheonellaceae
OTU5162,Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Cohnella,s__unclassified_g__Cohnella
OTU5163,Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__Neochlamydia,s__unclassified_g__Neochlamydia
OTU517,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__unclassified_g__norank_f__norank_o__Vicinamibacterales
OTU5172,Bacteria,p__Acidobacteriota,c__Subgroup_25,o__norank_c__Subgroup_25,f__norank_o__norank_c__Subgroup_25,g__norank_f__norank_o__norank_c__Subgroup_25,s__unclassified_g__norank_f__norank_o__norank_c__Subgroup_25
